,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url,explicit,popularity
164,232,333,369,591,430,Maluma,PAPI JUANCHO,Parce (feat. Justin Quiles),4RJz8NfIe09gpKMiRUWKhJ,0.691,0.739,5,-3.09,0,0.229,3.95e-06,0.11,0.884,83.897,248345,4,https://p.scdn.co/mp3-preview/36877b3663495e433d334271d88525774730aa98?cid=a8d47110797841a4a391cfea300f7b78,False,75
165,233,334,370,592,431,Maluma,Hawái (Remix),Hawái - Remix,0GzuHFG4Ql6DoyxFRnIk3F,0.766,0.788,6,-3.128,0,0.312,5.81e-06,0.142,0.609,179.984,200482,4,https://p.scdn.co/mp3-preview/387b491a7a8a2200379386e98f2f4a95506bb107?cid=a8d47110797841a4a391cfea300f7b78,False,75
166,235,336,372,594,433,Maluma,F.A.M.E.,Felices los 4,1RouRzlg8OKFeqc6LvdxmB,0.766,0.756,5,-5.861,1,0.132,0.0,0.349,0.716,94.027,230000,4,https://p.scdn.co/mp3-preview/ea9a6f1dd1f966628ffb51723ca2823e276517b1?cid=a8d47110797841a4a391cfea300f7b78,False,74
194,274,390,428,671,510,DJ Snake,Peace Is The Mission (Extended),Lean On,1Lim1Py7xBgbAkAys3AGAG,0.723,0.809,7,-3.081,0,0.0625,0.00123,0.565,0.274,98.007,176561,4,https://p.scdn.co/mp3-preview/a2fb514286bfd42f6b823f29ec3d965d90b89fb4?cid=a8d47110797841a4a391cfea300f7b78,False,73
195,275,391,429,672,511,DJ Snake,Turn Down for What,Turn Down for What,67awxiNHNyjMXhVgsHuIrs,0.818,0.799,1,-4.1,0,0.156,0.128,0.057,0.0815,100.014,213733,4,https://p.scdn.co/mp3-preview/fde5f6c570eb2ecaca797c0984a247a47d3fdc21?cid=a8d47110797841a4a391cfea300f7b78,False,72
204,290,410,453,713,552,J Balvin,Enoc,Una Locura,5y7DaS3jAc9eZzcSOoUIwU,0.714,0.761,5,-4.596,0,0.0427,0.00035,0.241,0.906,168.022,230693,4,https://p.scdn.co/mp3-preview/eb242ceac7bc7e879368beca1bff6a1d8b563829?cid=a8d47110797841a4a391cfea300f7b78,False,80
205,291,412,455,716,555,J Balvin,Relación (Remix),Relación - Remix,35UUpTmrcFXNIVIN26ujXl,0.793,0.771,5,-3.417,1,0.0959,1.51e-06,0.284,0.835,171.943,247308,4,https://p.scdn.co/mp3-preview/7ff3beb873e2fb8180d9964d51fcad2153ab4794?cid=a8d47110797841a4a391cfea300f7b78,False,79
206,292,413,456,717,556,Camila Cabello,Don't Go Yet,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,0.666,0.796,10,-6.967,0,0.103,0.0,0.0442,0.61,110.108,164842,4,https://p.scdn.co/mp3-preview/aa06e95a1fbb185b61373f4b7c5c053e86df5d96?cid=a8d47110797841a4a391cfea300f7b78,False,88
207,293,414,457,719,558,Camila Cabello,Camila,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,3.56e-05,0.132,0.394,104.988,217307,4,https://p.scdn.co/mp3-preview/663b794c2fc8da8f9bbe33698cb1bac567126a23?cid=a8d47110797841a4a391cfea300f7b78,False,81
208,294,415,458,720,559,Camila Cabello,Oh Na Na,Oh Na Na,03NqHNdG3Ur6kciQWK6e8V,0.744,0.862,0,-3.446,1,0.0622,5.58e-06,0.0889,0.688,115.021,203653,4,https://p.scdn.co/mp3-preview/e350725963807fc87e95a3523bafdc1466cfbd7b?cid=a8d47110797841a4a391cfea300f7b78,False,79
